1,1,2,40000
2,1,3,40000
3,1,8,40000
4,2,1,40000
5,2,3,40000
6,2,4,40000
7,3,1,40000
8,3,2,40000
9,3,6,40000
10,4,2,40000
11,4,5,40000
12,4,11,40000
13,5,4,40000
14,5,6,40000
15,5,7,40000
16,6,3,40000
17,6,5,40000
18,6,10,40000
19,6,14,40000
20,7,5,40000
21,7,8,40000
22,7,10,40000
23,8,1,40000
24,8,7,40000
25,8,9,40000
26,9,8,40000
27,9,10,40000
28,9,12,40000
29,9,13,40000
30,10,6,40000
31,10,7,40000
32,10,9,40000
33,11,4,40000
34,11,12,40000
35,11,13,40000
36,12,9,40000
37,12,11,40000
38,12,14,40000
39,13,9,40000
40,13,11,40000
41,13,14,40000
42,14,6,40000
43,14,12,40000
44,14,13,40000
